Actor
RAE, JAMES
RASHAD, PHYLICIA
RATCHFORD, JEREMY
RATHER, DAN
RATNER, BENJAMIN
REAGAN, RONALD (I)
REDFORD, ROBERT (I)
REDGRAVE, VANESSA
REDMAN, CHRISTOPHER (I)
REDMAN, DEAN
REDMOND, SARAH-JANE
REED, LOU
REED, PAMELA
REEVE, CHRISTOPHER
REEVES, KEANU
REINER, CARL
REINER, ROB
REINHOLD, JUDGE
REIS, SHAWN (I)
REITER, DONOVAN
RENNIE, CALLUM KEITH
REYNOLDS, BURT (I)
REYNOLDS, DEBBIE (I)
RHAMES, VING
RHODES, DONNELLY
RICHARDS, KEITH (II)
RICHMOND, DEON
RIDGELY, ROBERT
RIEGERT, PETER
RIFKIN, RON
RISTIC, SUZANNE
RITTER, JOHN
RIVERS, JOAN
ROBARDS, JASON
ROBBINS, KATE (II)
ROBBINS, TIM (I)
ROBERDS, MICHAEL
ROBERTS, DORIS
ROBERTS, ERIC (I)
ROBERTS, JULIA (I)
ROBERTS, KEN (VI)
ROBERTSON, CLIFF (I)
ROBINSON, ANDREW (I)
ROBITAILLE, RICHARD
ROCHÈ, SEBASTIAN
ROCK, CHRIS (I)
ROGERS, MICHAEL (V)
ROLLE, ESTHER
ROLSTON, MARK
ROMANO, RAY (I)
ROONEY, MICKEY (I)
ROSE, GABRIELLE
ROSS, RICCO
ROTHERY, TERYL
ROWE, NICHOLAS (I)
ROY, MAXIM
RUBINEK, SAUL
RUBINSTEIN, JOHN
RUGINIS, VYTO
RYDER, WINONA
SAINT, EVA MARIE
SANDERS, ALVIN
SANDERS, JAY O.
SANDERSON, WILL
SANDERSON, WILLIAM
SANTIAGO, ZAK
SARANDON, SUSAN
SAUNDERS, KENDALL
SAXON, JOHN
SAXON, ROLF
SCHEINE, RAYNOR
SCHIAVELLI, VINCENT
SCHMIDTKE, NED
SCHOLTE, TOM (I)
SCHOMBING, JASON
SCHORPION, FRANK
SCHREIBER, LIEV
SCHULTZ, ALBERT (I)
SCHWARTZMAN, JASON
SCHWARZENEGGER, ARNOLD
SCORSESE, MARTIN (I)
SCOTT, CAMPBELL
SCOTT, LARRY B.
SCOTT, MALCOLM (IV)
